datetaken,latitude,longitude,owner,ownername,relevant,title,url,wild,confidence
2020-05-26T10:54:12.000Z,9.52532,123.430023,100123353@N08,Rafi Amar Wildlife Photography,TRUE,Whale Shark - Rhincodon typus,https://live.staticflickr.com/65535/49936818528_4167f47c60_b.jpg,TRUE,
2020-05-26T10:54:06.000Z,9.52532,123.430023,100123353@N08,Rafi Amar Wildlife Photography,TRUE,Whale Shark - Rhincodon typus,https://live.staticflickr.com/65535/49937328786_10cf649571_b.jpg,TRUE,
2020-05-25T09:00:07.000Z,9.52532,123.430023,100123353@N08,Rafi Amar Wildlife Photography,TRUE,Whale Shark - Rhincodon typus,https://live.staticflickr.com/65535/49933056971_c6c6cb844f_b.jpg,TRUE,
2020-01-04T06:00:55.000Z,0,0,28418986@N04,Andreja Sever,TRUE,Blue screen,https://live.staticflickr.com/65535/49469941271_683d2368e5_b.jpg,FALSE,
2019-09-23T11:56:57.000Z,0,0,11928454@N04,pastough,TRUE,IMG_5076.jpg,https://live.staticflickr.com/65535/48993927842_bc6ee8287f_b.jpg,FALSE,
2020-05-18T15:55:47.000Z,0,0,96639807@N00,planetdavis23,TRUE,IMG_2195,https://live.staticflickr.com/31337/49910215303_d2fd369c93_b.jpg,FALSE,
2019-10-07T11:13:19.000Z,0,0,141364395@N06,DocTroll,TRUE,Whale shark,https://live.staticflickr.com/65535/49984039307_bc39170514_b.jpg,unknown,
2019-09-07T10:22:37.000Z,0,0,26195976@N04,Timothy LaBranche,TRUE,Georgia Aquarium,https://live.staticflickr.com/65535/48714453937_4b52862b91_b.jpg,FALSE,
2019-10-07T10:45:24.000Z,0,0,141364395@N06,DocTroll,TRUE,Whale shark,https://live.staticflickr.com/65535/49984039552_12e5d1edaa_b.jpg,unknown,
2019-07-20T16:01:31.000Z,26.694394,127.878102,40295335@N00,Joel Abroad,TRUE,Whalesharks passing,https://live.staticflickr.com/31337/48333260192_d0a83fc53b_b.jpg,FALSE,
2020-01-23T10:13:37.000Z,0,0,12548107@N00,o spot,TRUE,G0010359b,https://live.staticflickr.com/65535/49532193243_4644c614fe_b.jpg,TRUE,
2020-01-23T10:02:55.000Z,0,0,12548107@N00,o spot,TRUE,G0010317b,https://live.staticflickr.com/65535/49532918557_9b8c36e23e_b.jpg,TRUE,
2019-10-25T08:26:48.000Z,-13.315462,48.160285,100123353@N08,Rafi Amar Wildlife Photography,TRUE,Whale Shark - Rhincodon typus,https://live.staticflickr.com/65535/49413337331_1ebd3ec970_b.jpg,TRUE,
2019-09-23T11:57:12.000Z,0,0,11928454@N04,pastough,TRUE,IMG_5088.jpg,https://live.staticflickr.com/65535/48993189808_2d96c2ec1e_b.jpg,FALSE,
2020-05-26T10:54:09.000Z,9.52532,123.430023,100123353@N08,Rafi Amar Wildlife Photography,TRUE,Whale Shark - Rhincodon typus,https://live.staticflickr.com/65535/49937328906_89efe4270f_b.jpg,TRUE,
2020-05-25T08:59:55.000Z,9.52532,123.430023,100123353@N08,Rafi Amar Wildlife Photography,TRUE,Whale Shark - Rhincodon typus,https://live.staticflickr.com/65535/49932545098_aa067022bc_b.jpg,unknown,
2019-08-17T11:53:00.000Z,0,0,121943957@N06,junglepearl,TRUE,pe198602,https://live.staticflickr.com/65535/48718209897_32b04414cb_b.jpg,TRUE,
