datetaken,latitude,longitude,owner,ownername,relevant,title,url,wild
2020-06-30T11:17:30.000Z,0,0,86865747@N04,DuggieH,true,Zebras!,https://live.staticflickr.com/65535/50070521586_87c0980fb6_b.jpg,false
2020-06-26T14:48:59.000Z,0,0,15809992@N00,Kuby!,true,Grevyi Zebra,https://live.staticflickr.com/65535/50064252616_673bb2e818_b.jpg,false
2020-07-05T10:21:09.000Z,0,0,104185028@N06,eileen.mccallum,true,tasting the water,https://live.staticflickr.com/65535/50083355737_5bdfdb5fd8_b.jpg,false
2020-07-06T12:12:30.000Z,0,0,46117671@N08,s wainwright,true,2020 - 07 - 06 - EOS 600 - Grevy s Zebras - Chester Zoo - 002,https://live.staticflickr.com/65535/50088260441_f594625657_b.jpg,false
2020-06-06T09:05:35.000Z,0,0,84152923@N08,MrTDiddy,true,"Hartmanns bergzebra - Equus zebra hartmannae - Hartmann's mountain zebra",https://live.staticflickr.com/65535/50065157103_b8f6412ac3_b.jpg,false
2020-06-19T10:41:18.000Z,0,0,184083064@N06,chris_smith_uk,true,Low Key Zebra,https://live.staticflickr.com/65535/50055884556_5128979044_b.jpg,unknown
2020-06-22T15:03:34.000Z,0,0,8613019@N03,mfelsky,true,Zebra Toronto Zoo MF340800,https://live.staticflickr.com/65535/50054802537_a3d9d8bbe7_b.jpg,false
2020-06-25T11:51:17.000Z,53.224911,-2.887006,23806090@N04,Ray Hutchings,true,"Grévy's zebra",https://live.staticflickr.com/65535/50044359337_5659be6351_b.jpg,false
2020-06-25T12:19:01.000Z,53.224722,-2.884023,23806090@N04,Ray Hutchings,true,"Grévy's zebra",https://live.staticflickr.com/65535/50044371017_25539a9f00_b.jpg,false
2020-06-30T12:32:55.000Z,0,0,143081774@N07,brain3ater,true,Stripes,https://live.staticflickr.com/65535/50062796431_081c09dbfd_b.jpg,false
2020-06-11T13:32:51.000Z,0,0,185494468@N05,carl.schoenenberger,true,_I6A6781,https://live.staticflickr.com/65535/49996255941_183b7353ba_b.jpg,unknown
2020-06-16T09:36:08.000Z,0,0,28621297@N03,terrificphotos,true,3TR_0559 Zebras,https://live.staticflickr.com/65535/50013476483_e7cfb99273_b.jpg,unknown
2020-06-22T23:38:03.000Z,0,0,146272131@N07,foundin_a_attic,true,img431,https://live.staticflickr.com/65535/50036450492_5779f16096_b.jpg,false
2020-06-23T13:42:58.000Z,0,0,45412657@N06,Barbara Walzer,true,Naturschutz in Zeiten von Corona im Frankfurter Zoo-bw_20200623_8767.jpg,https://live.staticflickr.com/65535/50038847637_0a970d31b2_b.jpg,false
2020-06-25T11:51:12.000Z,53.224911,-2.887006,23806090@N04,Ray Hutchings,true,"Grévy's zebra",https://live.staticflickr.com/65535/50044356377_5e743bf544_b.jpg,false
2020-06-25T12:19:38.000Z,53.224722,-2.884023,23806090@N04,Ray Hutchings,true,"Grévy's zebra",https://live.staticflickr.com/65535/50043555873_6875b11248_b.jpg,false
2020-06-25T12:17:54.000Z,53.224722,-2.884023,23806090@N04,Ray Hutchings,true,"Grévy's zebra",https://live.staticflickr.com/65535/50044365157_ef32525637_b.jpg,false
2020-06-28T15:49:36.000Z,51.517633,5.111038,32086739@N02,OurTravelPics.com,true,hilvarenbeek_8_085,https://live.staticflickr.com/65535/50060971433_0e6d5592ed_b.jpg,false
2020-06-25T12:18:54.000Z,53.224722,-2.884023,23806090@N04,Ray Hutchings,true,"Grévy's zebra",https://live.staticflickr.com/65535/50044111541_e9a99590d6_b.jpg,false
2020-06-25T13:15:02.000Z,0,0,184627871@N02,adam.pearson94,true,Zebra,https://live.staticflickr.com/65535/50046567108_e912fcb7a9_b.jpg,false
2020-03-11T12:03:03.000Z,0,0,62950692@N03,j.a.kok,true,grevy zebra Artis BB2A0741,https://live.staticflickr.com/65535/50068214998_454ed6544c_b.jpg,false
2020-06-23T13:48:13.000Z,0,0,45412657@N06,Barbara Walzer,true,Naturschutz in Zeiten von Corona im Frankfurter Zoo-bw_20200623_8776.jpg,https://live.staticflickr.com/65535/50038590056_bc3edd8920_b.jpg,false
2020-06-15T14:13:25.000Z,0,0,31544238@N07,andysnapper1,true,Zebra 1,https://live.staticflickr.com/65535/50019588031_e78c47a406_b.jpg,false
2020-06-21T15:27:20.000Z,0,0,42291519@N03,alsib,true,Whipsnade-Zoo-21-June-2020-0114,https://live.staticflickr.com/65535/50031477202_edf1281e5c_b.jpg,false
2020-06-17T13:18:51.000Z,52.168319,11.641947,55276930@N04,Magdeburg,true,Grevy-Zebra,https://live.staticflickr.com/65535/50026941781_3e59d79270_b.jpg,false
2020-06-16T09:39:19.000Z,0,0,28621297@N03,terrificphotos,true,3TR_0566 Social Distancing,https://live.staticflickr.com/65535/50013475018_f49180a7a2_b.jpg,unknown
2020-06-16T09:37:12.000Z,0,0,28621297@N03,terrificphotos,true,3TR_0561 Zebra,https://live.staticflickr.com/65535/50014005731_9da922e421_b.jpg,false
2020-05-22T12:04:11.000Z,0,0,33258175@N08,Mostly Tim,true,step by step,https://live.staticflickr.com/65535/49979792371_a9946cecf5_b.jpg,false
2020-02-17T11:22:16.000Z,0,0,62950692@N03,j.a.kok,true,grevy zebra artis BB2A0576,https://live.staticflickr.com/65535/49991280208_4dfb4b8ed8_b.jpg,unknown
2020-05-22T12:07:14.000Z,0,0,33258175@N08,Mostly Tim,true,3z,https://live.staticflickr.com/65535/49952339327_1a519cd457_b.jpg,false
2020-06-05T01:38:36.000Z,2.493109,37.792968,157321343@N05,rob kite,true,Grevys Zebra,https://live.staticflickr.com/65535/49973205692_50e8701eaf_b.jpg,true
2020-06-02T13:50:54.000Z,0,0,150502132@N06,René Ouderling,true,strolling,https://live.staticflickr.com/65535/49966092093_fca545662c_b.jpg,false
2020-06-06T09:13:49.000Z,0,0,186358106@N07,Orcanius,true,2020-06-06-09-13-49-_PO5252100087.jpg,https://live.staticflickr.com/65535/49980408682_0b1d39f2cd_b.jpg,unknown
2020-05-24T10:10:42.000Z,0,0,132559310@N03,Richard Oude Egbrink,true,Artis Zoo,https://live.staticflickr.com/65535/49930564608_e92bc0eb19_b.jpg,false
2020-05-18T10:09:29.000Z,0,0,128203201@N02,Eddy L.,true,Tg Nbg              is this love ?             200518,https://live.staticflickr.com/65535/49913243821_00faf11a83_b.jpg,false
2020-05-08T09:17:31.000Z,50.115886,8.702630,74918595@N06,StK-WI,true,IMG_9781ri,https://live.staticflickr.com/65535/49885353231_35f5546839_b.jpg,false
2020-05-28T11:27:35.000Z,0,0,84804903@N00,~~Nelly~~,true,Terug naar Planckendael,https://live.staticflickr.com/65535/49947217193_b9561c6055_b.jpg,false
2020-05-24T10:10:26.000Z,0,0,132559310@N03,Richard Oude Egbrink,true,Artis Zoo,https://live.staticflickr.com/65535/49931074651_c0302b4da8_b.jpg,false
2020-05-18T11:39:00.000Z,0,0,33258175@N08,Mostly Tim,true,Something in the water,https://live.staticflickr.com/65535/49913229386_cfdb549b55_b.jpg,unknown
2020-05-22T12:04:11.000Z,0,0,33258175@N08,Mostly Tim,true,stripes,https://live.staticflickr.com/65535/49922563118_7daf15e641_b.jpg,false
2020-03-21T12:06:52.000Z,0,0,36885938@N07,Annette Rumbelow,true,"Grant's Zebra (Equus quagga boehmi)",https://live.staticflickr.com/65535/49917133497_22ce396e30_b.jpg,unknown
2020-05-04T14:13:11.000Z,0,0,188300018@N06,CaptureMemoriesThroughALens,true,zebras_49775501806_o,https://live.staticflickr.com/65535/49856824672_c7f462fb13_b.jpg,unknown
2019-12-28T16:06:41.000Z,0,0,183554938@N06,verashid76,true,Grevy’s Zebra!,https://live.staticflickr.com/65535/49822340037_1d6e74c448_b.jpg,unknown
2020-04-13T21:20:20.000Z,0,0,188111944@N02,jeordiesrainbow,true,zebra,https://live.staticflickr.com/65535/49814656722_149168f5eb_b.jpg,unknown
2020-04-14T19:26:59.000Z,0,0,68220522@N07,CountYourBlessings734,true,Zebras!!!,https://live.staticflickr.com/65535/49775501806_ca115957bc_b.jpg,unknown
2020-04-19T11:31:28.000Z,0,0,188013352@N05,JPhotos115,true,0D046B27-71E1-4C7D-B991-9AF35E3CC813,https://live.staticflickr.com/65535/49794439512_0c4e8ff4eb_b.jpg,false
2020-07-02T08:41:47.000Z,0,0,11928454@N04,pastough,true,IMG_7348.jpg,https://live.staticflickr.com/65535/50100837398_82462fc341_b.jpg,false
2020-07-02T08:41:39.000Z,0,0,11928454@N04,pastough,true,IMG_7345.jpg,https://live.staticflickr.com/65535/50101418951_ce9f499e8b_b.jpg,false
2020-09-04T11:49:37.000Z,0,0,58438371@N02,Eric de Redelijkheid,true,"Grevy's Zebra",https://live.staticflickr.com/65535/50333891232_0c6985738d_b.jpg,false
2020-08-19T14:51:07.000Z,53.604252,11.442883,92201052@N06,Nephentes Phinena ☮,true,"Ears 'n Stripes",https://live.staticflickr.com/65535/50331838392_17f0baf58c_b.jpg,false
2020-09-11T11:06:03.000Z,0,0,51533216@N07,Markus Aeschimann,true,Zoo Zürich - 11. September 2020,https://live.staticflickr.com/65535/50330913283_8480f0f89e_b.jpg,false
2020-09-16T11:21:53.000Z,51.351038,-0.317448,35179344@N06,Elouise2009,true,Zebra,https://live.staticflickr.com/65535/50352917466_cb5c375dd4_b.jpg,false
2020-09-15T12:08:46.000Z,0,0,8491474@N05,dopol50,true,Zebra B/W,https://live.staticflickr.com/65535/50348493301_8a0caf11e8_b.jpg,false
2020-07-29T15:47:52.000Z,0,0,65125272@N08,NickD71,true,Mono in Mono,https://live.staticflickr.com/65535/50322788626_1fe51663d3_b.jpg,false
2020-09-12T14:51:52.000Z,0,0,182154321@N04,Pinguin Photo,true,DSC_0635,https://live.staticflickr.com/65535/50342254333_e4e170af0c_b.jpg,false
2020-09-12T14:51:58.000Z,0,0,182154321@N04,Pinguin Photo,true,DSC_0641,https://live.staticflickr.com/65535/50343095692_a5a0c1b30e_b.jpg,false
2020-09-06T11:23:10.000Z,0,0,27518428@N00,vambo25,true,"Zebra, Yorkshire Wildlife Park",https://live.staticflickr.com/65535/50320283141_77d72f6a98_b.jpg,false
2020-09-07T12:15:39.000Z,0,0,66833533@N03,mark f2.9,true,Friendship at an Early Age,https://live.staticflickr.com/65535/50323175147_5c33ae6b13_b.jpg,false
2020-09-15T08:00:08.000Z,0,0,56952264@N06,josch1962,true,L1012153,https://live.staticflickr.com/65535/50347038448_1b1f5a5799_b.jpg,false
2020-09-04T11:48:21.000Z,0,0,58438371@N02,Eric de Redelijkheid,true,"Grevy's Zebra",https://live.staticflickr.com/65535/50333044493_c29362a67e_b.jpg,false
2020-09-07T09:36:16.000Z,0,0,66833533@N03,mark f2.9,true,Youngsters at Play,https://live.staticflickr.com/65535/50323175127_93caf1144a_b.jpg,false
2020-09-11T11:10:21.000Z,0,0,51533216@N07,Markus Aeschimann,true,Zoo Zürich - 11. September 2020,https://live.staticflickr.com/65535/50330911698_9310a1f0f0_b.jpg,false
2020-08-24T15:24:00.000Z,0,0,36436100@N07,chris d n whitehead,true,Zebra chester zoo,https://live.staticflickr.com/65535/50330751427_39608c552c_b.jpg,false
2020-09-13T15:31:16.000Z,0,0,44254340@N06,PeteMartin,true,Zebra.,https://live.staticflickr.com/65535/50342183071_656153cd9d_b.jpg,false
2020-09-07T12:03:58.000Z,0,0,66833533@N03,mark f2.9,true,Dust Bath,https://live.staticflickr.com/65535/50322998556_4a47571696_b.jpg,false
2020-09-11T11:08:16.000Z,0,0,51533216@N07,Markus Aeschimann,true,Zoo Zürich - 11. September 2020,https://live.staticflickr.com/65535/50331761622_2d65e2cf18_b.jpg,false
2020-09-08T14:10:07.000Z,0,0,51836494@N00,louisemarston,true,"Grévy's zebra",https://live.staticflickr.com/65535/50331054251_e44310e59b_b.jpg,false
2020-09-07T09:39:09.000Z,0,0,66833533@N03,mark f2.9,true,By the Water hole,https://live.staticflickr.com/65535/50323175232_05d3b497b9_b.jpg,false
2020-09-05T14:08:14.000Z,0,0,61062609@N00,kellyv,true,20200905-108A8628,https://live.staticflickr.com/65535/50321252396_778ee98fd4_b.jpg,false
2020-09-08T12:34:33.000Z,0,0,34190295@N02,babygreys,true,"Don't make me laugh....",https://live.staticflickr.com/65535/50319796793_b3456e1920_b.jpg,false
2020-09-05T14:08:40.000Z,0,0,61062609@N00,kellyv,true,20200905-108A8633,https://live.staticflickr.com/65535/50320579963_c8a4054fb0_b.jpg,false
2020-07-22T08:56:16.000Z,0,0,62950692@N03,j.a.kok,true,grevy´s zebra artis BB2A0729,https://live.staticflickr.com/65535/50314347396_3c6e3b9f83_b.jpg,false
2020-07-22T09:01:19.000Z,0,0,62950692@N03,j.a.kok,true,grevy´s zebra artis BB2A0766,https://live.staticflickr.com/65535/50314526472_021d91d614_b.jpg,false
2020-07-22T10:38:54.000Z,0,0,62950692@N03,j.a.kok,true,grevy´s zebra artis BB2A0068,https://live.staticflickr.com/65535/50314522577_0867e2941f_b.jpg,false
2019-10-20T12:43:24.000Z,0,0,95285827@N03,Tinsley 41A,true,Grevys Zebra,https://live.staticflickr.com/65535/50313230317_5acde3cec5_b.jpg,false
2020-07-22T08:56:43.000Z,0,0,62950692@N03,j.a.kok,true,grevy´s zebra artis BB2A0741,https://live.staticflickr.com/65535/50314349391_1a0db60730_b.jpg,unknown
2020-09-07T15:05:53.000Z,51.844830,-0.548039,185509812@N07,ajbolton82,true,"Zebras, Whipsnade zoo",https://live.staticflickr.com/65535/50319581827_c586b6793e_b.jpg,false
2019-10-20T12:41:38.000Z,0,0,95285827@N03,Tinsley 41A,true,Grevys Zebra,https://live.staticflickr.com/65535/50313230207_e5beacfb61_b.jpg,false
2020-09-07T12:41:46.000Z,0,0,73346041@N02,snapperpeter,true,200907-Chester_Z00-0048,https://live.staticflickr.com/65535/50316796408_1fca40c72f_b.jpg,false
2020-07-22T10:43:36.000Z,0,0,62950692@N03,j.a.kok,true,grevy´s zebra artis BB2A0071,https://live.staticflickr.com/65535/50313674738_e373a1cab9_b.jpg,false
2020-07-22T08:53:09.000Z,0,0,62950692@N03,j.a.kok,true,grevy´s zebra artis BB2A0687,https://live.staticflickr.com/65535/50313675943_8f727565f1_b.jpg,false
2020-09-06T11:03:15.000Z,0,0,95285827@N03,Tinsley 41A,true,Grevys Zebra,https://live.staticflickr.com/65535/50316936911_7a37716bd8_b.jpg,unknown
2020-09-07T05:17:56.000Z,0,0,129549091@N03,juliane.reiss,true,zebra,https://live.staticflickr.com/65535/50314994458_3596d36046_b.jpg,false
2020-07-22T09:05:46.000Z,0,0,62950692@N03,j.a.kok,true,grevy´s zebra artis BB2A0796,https://live.staticflickr.com/65535/50313679373_c43f34cf9b_b.jpg,false
2020-09-05T14:13:06.000Z,0,0,32086739@N02,OurTravelPics.com,true,amersfoort_8_100,https://live.staticflickr.com/65535/50316002241_c02250d9c4_b.jpg,false
2020-09-04T15:29:37.000Z,0,0,69080348@N04,Troll-66,true,"Grevy's Zebra",https://live.staticflickr.com/65535/50309348298_ff8889344d_b.jpg,false
2020-08-22T09:46:44.000Z,0,0,66619283@N00,sulkyblue,true,Zebra,https://live.staticflickr.com/65535/50300288833_8f6540d7b8_b.jpg,false
2020-08-24T09:33:05.000Z,0,0,189784091@N02,stephen.frost01,true,Zebra Grazing,https://live.staticflickr.com/65535/50298818946_ff66dd8efb_b.jpg,unknown
2020-08-22T10:10:46.000Z,0,0,66619283@N00,sulkyblue,true,Zebra,https://live.staticflickr.com/65535/50300974166_c3a2d5beb6_b.jpg,false
2020-07-16T09:32:23.000Z,0,0,62950692@N03,j.a.kok,true,Grevy´s zebra Artis BB2A0596,https://live.staticflickr.com/65535/50291019672_06608b315b_b.jpg,false
2020-07-28T10:41:08.000Z,0,0,135624063@N08,watt.charlene,true,"Grevy's Zebra (Equus grevyi).",https://live.staticflickr.com/65535/50270932121_a668d5abb5_b.jpg,false
2020-07-16T12:00:12.000Z,0,0,62950692@N03,j.a.kok,true,Grevy´s zebra Artis BB2A1481,https://live.staticflickr.com/65535/50290874666_8fb0da8b05_b.jpg,false
2020-07-16T12:00:12.000Z,0,0,62950692@N03,j.a.kok,true,Grevy´s zebra Artis BB2A1480,https://live.staticflickr.com/65535/50290194108_9ac59cd63d_b.jpg,false
2020-07-16T12:00:43.000Z,0,0,62950692@N03,j.a.kok,true,Grevy´s zebra Artis BB2A1497,https://live.staticflickr.com/65535/50290877676_f1786bb2f1_b.jpg,false
2020-07-16T09:18:50.000Z,0,0,62950692@N03,j.a.kok,true,Grevy´s zebra Artis BB2A0531,https://live.staticflickr.com/65535/50291021077_9c06e369f1_b.jpg,false
2020-08-27T14:23:45.000Z,0,0,56461225@N05,JulietKLH,true,IMG_3974,https://live.staticflickr.com/65535/50279129112_3189a29eb1_b.jpg,false
2020-07-28T12:46:27.000Z,0,0,135624063@N08,watt.charlene,true,"Grevy's Zebra (Equus grevyi).",https://live.staticflickr.com/65535/50270281938_13a668df98_b.jpg,unknown
2020-07-16T12:00:44.000Z,0,0,62950692@N03,j.a.kok,true,Grevy´s zebra Artis BB2A1499,https://live.staticflickr.com/65535/50290201468_6bceb3a94f_b.jpg,false
2020-08-25T16:35:59.000Z,0,0,162966071@N07,DicingWithLife,true,zoo zebra whipsnade,https://live.staticflickr.com/65535/50275481187_ca500c562b_b.jpg,unknown
2020-07-16T12:01:17.000Z,0,0,62950692@N03,j.a.kok,true,Grevy´s zebra Artis BB2A1513,https://live.staticflickr.com/65535/50290875761_0556b540aa_b.jpg,false
2020-08-18T11:12:46.000Z,0,0,154101152@N06,bernhard.gafner,true,Grevyzebra (Equus grevyi),https://live.staticflickr.com/65535/50277598458_0f763862c5_b.jpg,false
2020-08-28T12:48:40.000Z,0,0,157191912@N04,SamSturdey,true,"Hartmann's Zebra with Foal",https://live.staticflickr.com/65535/50283097167_ec57903371_b.jpg,false
2020-07-28T12:41:28.000Z,0,0,135624063@N08,watt.charlene,true,"Grevy's Zebra (Equus grevyi).",https://live.staticflickr.com/65535/50270281018_7cf714933c_b.jpg,false
2020-07-16T10:24:00.000Z,0,0,84152923@N08,MrTDiddy,true,"Grévyzebra - Equus grevyi - Grévy's zebra",https://live.staticflickr.com/65535/50257720323_0b41bc1521_b.jpg,false
2020-07-28T10:39:42.000Z,0,0,135624063@N08,watt.charlene,true,"Grevy's Zebra (Equus grevyi).",https://live.staticflickr.com/65535/50270262123_0f90aba6c6_b.jpg,false
2020-02-29T05:34:51.000Z,0,0,58635591@N00,tetedefromage,true,,https://live.staticflickr.com/65535/50281748923_be1da0e8d7_b.jpg,false
2020-08-25T16:35:54.000Z,0,0,162966071@N07,DicingWithLife,true,bemused zebra whipsnade zoo,https://live.staticflickr.com/65535/50275481312_25a01c889d_b.jpg,false
2020-06-24T12:15:35.000Z,0,0,127546708@N05,nicoleemcintyre,true,Zebra,https://live.staticflickr.com/65535/50272554602_67815c61bd_b.jpg,false
2020-07-28T13:44:50.000Z,0,0,135624063@N08,watt.charlene,true,"Grevy's Zebra (Equus grevyi).",https://live.staticflickr.com/65535/50271142752_0d14998fb7_b.jpg,unknown
2020-08-22T11:35:53.000Z,0,0,41558307@N05,Jem Salmon,true,Zebra,https://live.staticflickr.com/65535/50258788632_52b5fd4d5d_b.jpg,false
2020-08-31T07:14:45.000Z,0,0,124686822@N06,bpaige393,true,Can you see Me?,https://live.staticflickr.com/65535/50289775068_cf417c6edc_b.jpg,unknown
2020-07-16T08:49:41.000Z,0,0,62950692@N03,j.a.kok,true,Grevy´s zebra Artis BB2A0432,https://live.staticflickr.com/65535/50290206498_01e446e0df_b.jpg,false
2020-07-16T09:17:44.000Z,0,0,62950692@N03,j.a.kok,true,Grevy´s zebra Artis BB2A0523,https://live.staticflickr.com/65535/50291017732_0f376fddab_b.jpg,false
2020-08-28T12:50:35.000Z,0,0,157191912@N04,SamSturdey,true,"Hartmann's Zebra with Foal",https://live.staticflickr.com/65535/50282262928_739d21b9e5_b.jpg,false
2020-08-12T10:02:48.000Z,0,0,185494468@N05,carl.schoenenberger,true,_I6A9417,https://live.staticflickr.com/65535/50265804478_fcc60186b0_b.jpg,false
2020-08-08T13:04:10.000Z,0,0,94209416@N06,Seventh Heaven Photography - (Fauna),true,"Grevy's Zebra (Equus grevyi)",https://live.staticflickr.com/65535/50223146626_16e1db5786_b.jpg,false
2020-07-28T12:45:52.000Z,0,0,135624063@N08,watt.charlene,true,"Grevy's Zebra (Equus grevyi).",https://live.staticflickr.com/65535/50271126367_fed4060b6b_b.jpg,unknown
2020-07-16T09:31:36.000Z,0,0,62950692@N03,j.a.kok,true,Grevy´s zebra Artis BB2A0583,https://live.staticflickr.com/65535/50291020292_6fd79845e6_b.jpg,false
2020-07-28T13:42:53.000Z,0,0,135624063@N08,watt.charlene,true,"Grevy's Zebra (Equus grevyi).",https://live.staticflickr.com/65535/50270296613_34220b83a3_b.jpg,unknown
2020-07-28T13:42:55.000Z,0,0,135624063@N08,watt.charlene,true,"Grevy's Zebra (Equus grevyi).",https://live.staticflickr.com/65535/50270966536_57a05a0007_b.jpg,unknown
2020-07-16T09:32:24.000Z,0,0,62950692@N03,j.a.kok,true,Grevy´s zebra Artis BB2A0598,https://live.staticflickr.com/65535/50290873286_4e5104f50b_b.jpg,false
2020-05-20T11:15:30.000Z,0,0,88626887@N04,ElaNuernberg,true,Grévyzebra - Tiergarten Nürnberg - 20.05.2020,https://live.staticflickr.com/65535/50264001047_aaca20a0c6_b.jpg,false
2020-08-18T18:59:18.000Z,0,0,47633122@N08,Raúl Barrero fotografía,true,"Cebra Grevy. Cabárceno, Cantábria.",https://live.staticflickr.com/65535/50255003551_a96a4ded7c_b.jpg,unknown
2020-07-21T13:32:06.000Z,28.362917,-81.595770,29648523@N05,fisherbray,true,"Hartmann's Mountain Zebra (Equus zebra hartmannae)",https://live.staticflickr.com/65535/50239981953_3be763e4b2_b.jpg,false
2020-08-20T18:11:40.000Z,0,0,56766207@N05,michel nguie,true,,https://live.staticflickr.com/65535/50247786498_130ff0f2ed_b.jpg,false
2020-08-17T14:02:29.000Z,0,0,46117671@N08,s wainwright,true,"2020 - 08 - 17 - EOS 600D - Grevy's Zebra - Chester Zoo - 000",https://live.staticflickr.com/65535/50245495023_5f9166f6a3_b.jpg,false
2020-08-22T12:23:28.000Z,51.847513,-0.543389,27634886@N00,Peter J Dean,true,Whipsnade Zoo,https://live.staticflickr.com/65535/50254933633_e5cdfa9531_b.jpg,false
2020-08-17T14:02:29.000Z,0,0,46117671@N08,s wainwright,true,"2020 - 08 - 17 - EOS 600D - Grevy's Zebra - Chester Zoo - 000 - 00",https://live.staticflickr.com/65535/50245503413_3f86147f1d_b.jpg,false
2020-08-17T14:08:44.000Z,0,0,46117671@N08,s wainwright,true,"2020 - 08 - 17 - EOS 600D - Grevy's Zebra - Chester Zoo - 004",https://live.staticflickr.com/65535/50245471708_7fa188a312_b.jpg,false
2020-08-11T10:38:02.000Z,52.377040,1.110239,16557826@N04,Paul Webb.,true,"Grevy's Zebra.",https://live.staticflickr.com/65535/50251745268_6cc20fc5e1_b.jpg,false
2020-08-17T14:08:36.000Z,0,0,46117671@N08,s wainwright,true,"2020 - 08 - 17 - EOS 600D - Grevy's Zebra - Chester Zoo - 003",https://live.staticflickr.com/65535/50245479428_286a4810c9_b.jpg,false
2020-08-17T14:09:03.000Z,0,0,46117671@N08,s wainwright,true,"2020 - 08 - 17 - EOS 600D - Grevy's Zebra - Chester Zoo - 006",https://live.staticflickr.com/65535/50245461853_c28c55156d_b.jpg,false
2020-08-21T12:26:09.000Z,0,0,132868561@N05,Richard__K,true,YWP-51,https://live.staticflickr.com/65535/50252735707_d04d3c7c33_b.jpg,false
2020-08-17T14:02:35.000Z,0,0,46117671@N08,s wainwright,true,"2020 - 08 - 17 - EOS 600D - Grevy's Zebra - Chester Zoo - 001",https://live.staticflickr.com/65535/50246330037_e2ca8225a6_b.jpg,false
2020-08-15T11:40:25.000Z,0,0,130392678@N06,"HDR's Photos",true,ZEBRA,https://live.staticflickr.com/65535/50234338883_f7b6cd9a0d_b.jpg,false
2020-08-15T11:42:12.000Z,0,0,130392678@N06,"HDR's Photos",true,ZEBRA,https://live.staticflickr.com/65535/50234994401_40e5271441_b.jpg,false
2020-08-15T11:43:08.000Z,0,0,130392678@N06,"HDR's Photos",true,ZEBRA,https://live.staticflickr.com/65535/50235210032_618a0d3d66_b.jpg,false
