,datetaken,encounter_latitude,encounter_longitude,owner,ownername,relevant,title,url,wild,confidence,user_location_name,user_coordinates,user_latitude,user_longitude,encounter_coordinates,residing_mongodb_collection,num_encounters_at_coords
52,2021-05-08T16:49:45.000Z,,,52913310@N06,Selena Rhodes Scofield Photography,True,20210508-DSC_2514,https://live.staticflickr.com/65535/51184168122_ecbb09e5b2_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
53,2021-05-08T16:49:45.000Z,,,52913310@N06,Selena Rhodes Scofield Photography,True,20210508-DSC_2515 4EW PM T123A srs,https://live.staticflickr.com/65535/51185636239_277e866e2c_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
54,2021-05-08T16:49:45.000Z,,,52913310@N06,Selena Rhodes Scofield Photography,True,20210508-DSC_2516,https://live.staticflickr.com/65535/51184168022_40d3191300_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
55,2021-05-08T16:49:45.000Z,,,52913310@N06,Selena Rhodes Scofield Photography,True,20210508-DSC_2517,https://live.staticflickr.com/65535/51185636119_729fbb1ed5_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
56,2021-05-11T17:49:11.000Z,,,93707333@N03,bill hunnewell,True,baleen at work! baleen is a filter-feeding system inside the mouths of baleen whales like the humpback who take huge gulps of water in with their prey and then eject the water through the baleen filter to feed,https://live.staticflickr.com/65535/51183607596_f65af3f2cb_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
57,2021-05-15T20:17:12.000Z,,,188489375@N08,TFalkChalmers,True,Making a Splash,https://live.staticflickr.com/65535/51182114917_d553286421_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
58,2021-05-15T20:13:57.000Z,,,188489375@N08,TFalkChalmers,True,Eyes on the Water,https://live.staticflickr.com/65535/51182114227_78da42971a_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
59,2019-09-27T03:51:34.000Z,,,129560388@N07,moniquerebanks,True,Full of memories - HSoS,https://live.staticflickr.com/65535/51179031072_0a6b0dc164_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
60,2021-05-14T11:14:41.000Z,,,125605310@N07,J.J. Maughn,True,"Humpback Whales, Megaptera novaeangliae",https://live.staticflickr.com/65535/51179627166_44b386eab9_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
61,2021-05-14T12:18:46.000Z,,,125605310@N07,J.J. Maughn,True,"Blue Whale, Balaenoptera musculus",https://live.staticflickr.com/65535/51180421259_b1f6af032a_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
62,2021-05-14T12:18:49.000Z,,,125605310@N07,J.J. Maughn,True,"Blue Whale, Balaenoptera musculus",https://live.staticflickr.com/65535/51180420724_2191a345c8_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
63,2021-05-14T05:39:04.000Z,,,125605310@N07,J.J. Maughn,True,"Blue Whale, Balaenoptera musculus",https://live.staticflickr.com/65535/51178942182_2132d53275_b.jpg,True,,Segovia,"(40.94942855834961, -4.119208812713623)",40.94942855834961,-4.119208812713623,"(nan, nan)",['humpback whale general'],3942
64,2021-05-14T21:17:00.000Z,,,62043870@N05,J. Maughn,True,"Blue Whale, Balaenoptera musculus",https://live.staticflickr.com/31337/51180695160_5f2d688e82_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
65,2021-05-14T05:39:04.000Z,,,62043870@N05,J. Maughn,True,"Blue Whale, Balaenoptera musculus",https://live.staticflickr.com/65535/51180388369_313ebd1a5b_b.jpg,True,,Bury,"(53.59346008300781, -2.2985401153564453)",53.59346008300781,-2.2985401153564453,"(nan, nan)",['humpback whale general'],3942
66,2021-05-14T11:02:59.000Z,,,62043870@N05,J. Maughn,True,"Humpback Whales, Megaptera novaeangliae",https://live.staticflickr.com/65535/51179814173_829d6e689e_b.jpg,True,,Bury,"(53.59346008300781, -2.2985401153564453)",53.59346008300781,-2.2985401153564453,"(nan, nan)",['humpback whale general'],3942
67,2021-05-14T11:05:04.000Z,,,62043870@N05,J. Maughn,True,"Humpback Whale, Megaptera novaeangliae",https://live.staticflickr.com/65535/51179813873_b767c9a513_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
